ID,"Bot Type","Bot Name",URL,"Post Title","Post Type","Request Method","Cache Status","Response Time (ms)","Response Size (bytes)","IP Address","Visit Time"
16,Unknown,"Unknown Bot",http://localhost:8080/comprehensive-local-conversion-test,"Comprehensive Local Conversion Test",post,md_url,PRE_GENERATED,1,776,185.199.108.133,"2026-01-21 18:29:58"
15,Unknown,"Unknown Bot",http://localhost:8080/,"Sample Page",page,md_url,HIT,1,1283,185.199.108.133,"2026-01-21 18:12:26"
14,Unknown,"Unknown Bot",http://localhost:8080/,"Sample Page",page,md_url,HIT,1,1283,185.199.108.133,"2026-01-21 17:44:45"
13,Unknown,"Unknown Bot",http://localhost:8080/,"Sample Page",page,md_url,HIT,1,1283,185.199.108.133,"2026-01-21 17:44:39"
12,Unknown,"Unknown Bot",http://localhost:8080/,"Sample Page",page,md_url,HIT,1,1283,185.199.108.133,"2026-01-21 17:33:21"
11,Unknown,"Unknown Bot",http://localhost:8080/,"Sample Page",page,md_url,HIT,1,1283,185.199.108.133,"2026-01-21 17:32:56"
10,Unknown,"Unknown Bot",http://localhost:8080/ai-optimized-markdown-test,"AI-Optimized Markdown Test",post,md_url,PRE_GENERATED,2,832,185.199.108.133,"2026-01-21 17:32:49"
9,Unknown,"Unknown Bot",http://localhost:8080/ai-optimized-markdown-test,"AI-Optimized Markdown Test",post,md_url,PRE_GENERATED,1,832,185.199.108.133,"2026-01-21 17:32:17"
8,Unknown,"Unknown Bot",http://localhost:8080/comprehensive-local-conversion-test,"Comprehensive Local Conversion Test",post,md_url,PRE_GENERATED,3,776,185.199.108.133,"2026-01-21 16:37:57"
7,Unknown,"Unknown Bot",http://localhost:8080/,"Sample Page",page,md_url,HIT,1,1283,185.199.108.133,"2026-01-21 16:37:40"
6,Unknown,"Unknown Bot",http://localhost:8080/,"Sample Page",page,md_url,MISS,13,1283,185.199.108.133,"2026-01-21 16:36:08"
5,GPTBot,"GPT (OpenAI)",http://localhost:8080/comprehensive-local-conversion-test,"Comprehensive Local Conversion Test",post,md_url,PRE_GENERATED,1,776,185.199.108.133,"2026-01-21 14:56:55"
4,Unknown,"Unknown Bot",http://localhost:8080/comprehensive-local-conversion-test,"Comprehensive Local Conversion Test",post,md_url,PRE_GENERATED,1,776,185.199.108.133,"2026-01-21 14:56:35"
3,Unknown,"Unknown Bot",http://localhost:8080/comprehensive-local-conversion-test,"Comprehensive Local Conversion Test",post,md_url,PRE_GENERATED,1,715,185.199.108.133,"2026-01-21 14:55:51"
2,Unknown,"Unknown Bot",http://localhost:8080/comprehensive-local-conversion-test,"Comprehensive Local Conversion Test",post,md_url,PRE_GENERATED,1,715,185.199.108.133,"2026-01-21 14:55:43"
1,ClaudeBot,"Claude (Anthropic)",http://localhost:8080/test-local-conversion,"Test Local Conversion",post,md_url,MISS,9,733,185.199.108.133,"2026-01-21 14:41:39"
